If,0.03,0.25
there's,0.29,0.49
one,0.51,0.71
thing,0.75,0.89
I've,0.93,1.05
learned,1.09,1.29
in,1.33,1.37
this,1.43,1.57
life,,1.67,1.91
it's,2.11,2.21
that,2.25,2.41
boldness,2.43,3.01
is,3.21,3.27
the,3.33,3.40
solution,3.46,3.96
to,4.01,4.10
all,4.36,4.46
the,4.50,4.60
social,4.68,5.00
problems,5.06,5.46
you,5.50,5.60
have,,5.66,5.80
whether,5.86,6.08
it's,6.12,6.20
with,6.22,6.34
girls,,6.38,6.64
friends,,6.74,7.04
or,7.42,7.48
work,7.54,7.72
the,7.76,7.88
moment,7.92,8.20
you,8.26,8.36
acquire,8.42,8.78
the,8.84,8.92
skill,8.96,9.20
of,9.24,9.28
boldness,9.30,9.78
your,9.84,9.98
entire,10.04,10.40
life,10.48,10.68
will,10.74,10.88
change.,10.94,11.34
And,11.72,11.82
in,11.84,11.88
this,11.94,12.08
video,,12.14,12.56
I'm,12.90,13.01
going,13.03,13.17
to,13.19,13.23
teach,13.29,13.49
you,13.53,13.63
how,13.69,13.79
to,13.81,13.87
reach,13.89,14.13
the,14.19,14.29
highest,14.39,14.75
level,14.83,15.09
of,15.13,15.17
boldness,15.21,15.71
that,15.77,15.89
any,16.07,16.23
human,16.33,16.65
can,16.69,16.81
reach,16.89,17.09
on,17.17,17.23
this,17.25,17.39
planet.,17.45,17.81
And,18.11,18.19
I,18.23,18.25
must,18.29,18.47
tell,18.53,18.67
you,18.71,18.81
first,18.91,19.15
that,19.21,19.31
I'm,19.35,19.47
not,19.53,19.69
here,19.73,19.87
to,19.91,19.95
teach,20.03,20.21
you,20.25,20.35
how,20.39,20.47
to,20.51,20.57
be,20.61,20.69
bold,20.77,21.05
just,21.23,21.41
so,21.48,21.57
you,21.64,21.71
can,21.75,21.86
introduce,21.89,22.32
yourself,22.72,23.06
to,23.12,23.20
a,23.26,23.28
group,23.34,23.54
of,23.58,23.62
people,23.68,23.98
or,24.22,24.28
talk,24.34,24.56
to,24.60,24.88
a,24.90,25.28
Girl,25.26,25.50
you,25.54,25.64
like,25.68,25.84
I'm,25.90,26.02
here,26.06,26.20
to,26.24,26.28
teach,26.36,26.56
you,26.60,26.70
how,26.76,26.84
to,26.88,26.94
develop,27.00,27.38
a,27.40,27.42
crazy,27.68,28.10
amount,28.16,28.40
of,28.44,28.48
boldness,28.52,29.08
to,29.16,29.26
kind,29.30,29.50
of,29.54,29.58
boldness,29.60,30.16
that,30.23,30.34
makes,30.41,30.61
you,30.64,30.75
walk,30.81,31.05
down,31.11,31.27
the,31.31,31.41
street,31.45,31.73
see,31.81,31.97
a,32.01,32.03
girl,32.11,32.33
you,32.37,32.55
barely,32.67,32.99
know,33.05,33.27
and,33.31,33.59
have,33.63,33.73
only,33.81,33.97
spoken,34.03,34.35
to,34.39,34.45
one,34.57,34.69
stand,34.73,35.01
in,35.05,35.09
front,35.17,35.33
of,35.37,35.41
her,35.45,35.55
and,35.59,35.97
say,36.05,36.19
seriously,36.29,36.81
I'm,36.83,37.09
breaking,37.13,37.43
up,37.51,37.57
with,37.63,37.75
you.,37.79,37.93
Then,38.52,38.63
walk,38.70,38.90
away,38.95,39.20
and,39.24,39.50
leave,39.56,39.74
her,39.78,39.88
standing,39.92,40.28
there,40.32,40.46
shocked,40.52,40.86
or,41.08,41.14
to,41.18,41.24
be,41.30,41.40
in,41.46,41.50
a,41.54,41.58
movie,41.64,41.96
theater,42.02,42.32
stand,42.36,42.66
up,42.72,42.78
start,42.86,43.12
yelling,43.18,43.50
and,43.76,43.84
act,43.88,44.16
like,44.18,44.32
a,44.36,44.38
homeless,44.42,44.86
man,44.94,45.18
just,45.22,45.70
to,45.74,45.82
laugh,45.90,46.20
if,46.38,46.44
that,46.48,46.60
kind,46.65,46.83
of,46.87,46.91
boldness,46.92,47.47
seems,47.57,47.81
hard,47.91,48.13
to,48.19,48.27
you,48.31,48.57
or,48.55,48.83
like,48.87,49.01
something,49.11,49.43
you,49.47,49.55
shouldn't,49.61,49.89
have,49.93,50.07
I,50.15,50.21
promise,50.31,50.65
you,50.69,50.79
that,50.81,50.95
by,50.99,51.11
the,51.13,51.23
end,51.31,51.39
of,51.45,51.49
this,51.53,51.67
video,51.73,52.08
your,52.09,52.22
perspective,52.26,52.76
on,52.84,52.92
it,52.94,53.00
will,53.14,53.28
completely,53.32,53.76
change,53.86,54.20
so,54.50,54.64
welcome,54.70,55.00
to,55.04,55.10
the,55.14,55.20
social,55.28,55.62
skills,55.64,55.94
series,56.00,56.36
and,56.77,56.83
let,56.87,56.97
me,57.01,57.09
first,57.19,57.43
explain,57.51,57.89
to,57.91,57.97
you,58.01,58.11
why,58.15,58.31
boldness,58.35,58.87
if,59.05,59.11
we,59.15,59.25
go,59.29,59.39
back,59.47,59.67
in,59.71,59.79
time,59.85,60.05
to,60.11,60.19
an,60.25,60.29
era,60.41,60.61
when,60.75,60.87
societies,60.93,61.44
were,61.52,61.67
made,62.00,62.16
up,62.22,62.28
of,62.34,62.38
tribes,62.48,62.80
the,62.86,62.96
bold,63.00,63.24
man,63.30,63.54
was,63.60,63.72
the,63.76,63.84
strongest,63.88,64.90
Man,,64.88,65.24
if,65.26,65.34
there,65.38,65.50
was,65.54,65.64
a,65.68,65.72
strong,65.78,66.14
man,,66.20,66.50
he,66.70,66.78
was,66.84,66.94
simply,67.02,67.33
capable,67.41,67.83
of,67.89,67.94
doing,67.97,68.27
anything,68.29,68.87
he,68.93,69.01
wanted,69.09,69.39
and,69.71,69.79
saying,69.87,70.13
anything,70.15,70.69
he,70.75,70.83
wanted,70.89,71.15
without,71.21,71.51
fearing,71.63,71.97
anything,71.99,72.57
in,72.63,72.67
other,72.81,72.97
words,,73.03,73.27
he,73.33,73.39
was,73.43,73.57
bold,73.69,73.95
this,73.99,74.15
mindset,74.23,74.73
despite,74.81,75.25
thousands,75.27,75.83
of,75.89,75.94
years,75.95,76.30
passing,76.36,76.76
still,76.82,77.06
exists,77.12,77.44
within,77.50,77.82
us,77.90,78.00
to,78.04,78.14
this,78.18,78.32
day.,78.40,78.64
If,78.68,79.10
there,79.14,79.26
is,79.32,79.38
a,79.40,79.44
group,79.52,79.76
of,79.80,79.84
people,79.92,80.22
sitting,80.30,80.52
together,80.58,80.94
and,80.96,81.40
one,81.48,81.56
of,81.58,81.62
them,81.68,81.80
does,81.94,82.14
something,82.20,82.50
bold,,82.60,82.88
everyone,82.92,83.44
around,83.48,83.74
him,83.78,83.86
instinctively,83.90,84.69
feels,84.78,85.08
that,85.14,85.25
he,85.28,85.36
is,85.42,85.49
the,85.55,85.63
strongest,85.71,86.21
person,86.29,86.67
in,86.77,86.83
that,86.89,87.03
group.,87.11,87.39
And,87.73,87.81
here,87.87,88.01
I,88.05,88.11
want,88.15,88.27
to,88.29,88.33
pause,88.37,88.69
and,89.03,89.11
give,89.15,89.25
you,89.29,89.39
a,89.45,89.47
golden,89.55,89.89
rule.,89.95,90.23
I,90.47,90.53
want,90.59,90.75
you,90.79,90.89
to,90.93,91.01
remember,91.05,91.39
for,91.45,91.57
the,91.61,92.05
Rest,92.03,92.35
of,92.41,92.45
your,92.47,92.59
life,92.65,92.85
the,92.91,93.01
way,93.06,93.17
you,93.22,93.36
act,93.56,93.69
is,93.84,93.90
the,93.94,94.02
way,94.08,94.20
people,94.28,94.56
see,94.64,94.84
you,94.86,94.98
when,95.02,95.14
you,95.16,95.28
act,95.44,95.58
in,95.70,95.76
a,95.82,95.84
bold,95.90,96.16
way,96.20,96.34
you,96.40,96.52
present,96.56,96.86
yourself,,96.88,97.34
as,97.64,97.72
if,97.78,97.84
you're,97.86,98.02
the,98.04,98.10
strongest,98.16,98.68
person,98.78,99.14
in,99.18,99.24
the,99.28,99.34
group,,99.40,99.66
as,99.98,100.05
if,100.11,100.17
you're,100.19,100.34
the,100.36,100.43
leader,100.49,100.75
of,100.79,100.83
that,100.89,101.03
group.,101.11,101.67
And,101.69,101.77
when,101.81,101.91
people,101.97,102.25
see,102.33,102.49
you,102.53,102.65
behaving,102.71,103.15
like,103.21,103.39
that,,103.51,103.63
they,103.65,103.79
naturally,103.91,104.35
begin,104.43,104.71
treating,104.87,105.23
you,105.29,105.41
the,105.47,105.55
same,105.59,105.81
way.,105.91,106.13
If,106.19,106.42
you,106.44,106.56
want,106.59,106.80
people,106.86,107.14
to,107.18,107.26
trust,107.34,107.58
your,107.60,107.72
decision,,107.76,108.16
all,108.20,108.58
you,108.64,108.76
have,108.82,108.98
to,109.02,109.08
do,109.14,109.32
is,109.34,109.38
you,109.74,109.90
trust,109.98,110.24
that,110.30,110.42
decision.,110.50,110.94
First,,111.04,111.32
this,111.36,111.58
is,111.78,111.84
human,111.90,112.16
nature.,112.22,112.52
And,112.88,112.96
that's,112.98,113.14
why,113.19,113.31
my,113.36,113.50
dear,113.58,113.77
friend,,113.87,114.17
when,114.39,114.49
you,114.53,114.65
finish,114.71,114.97
this,115.01,115.11
video,115.17,115.53
and,115.77,115.85
acquire,115.91,116.27
with,116.31,116.41
me,116.45,116.57
the,116.61,116.69
skill,116.75,117.01
of,117.05,117.09
boldness.,117.17,118.09
Your,118.07,118.33
entire,118.39,118.75
life,118.83,119.05
will,119.11,119.25
change,,119.31,119.65
so,119.89,120.08
now,120.11,120.33
that,120.40,120.50
you,120.54,120.66
